"","neighborhood","overall_satisfaction","accommodates","bedrooms","price","latitude","longitude","room_type"
"388","Amager Vest",4.5,8,4,341,55.642829,12.588428,"E"
"389","Indre By",5,4,2,364,55.683796,12.590525,"E"
"390","Vesterbro-Kongens Enghave",5,3,1,378,55.672967,12.55795,"E"
"391","Indre By",5,10,4,384,55.676773,12.574775,"E"
"392","Amager Øst",0,8,3,393,55.651025,12.627056,"E"
"393","Indre By",5,6,3,333,55.683728,12.576587,"E"
"394","Bispebjerg",4.5,6,4,423,55.725982,12.529554,"E"
"395","Nørrebro",5,4,2,401,55.696086,12.556274,"E"
"396","Nørrebro",4.5,3,1,378,55.697238,12.555377,"E"
"397","Østerbro",5,5,3,315,55.697451,12.581527,"E"
"398","Vanløse",4.5,6,3,371,55.691405,12.488861,"E"
"399","Valby",4.5,13,6,394,55.662911,12.4788,"E"
"400","Amager Vest",0,6,3,393,55.631832,12.571901,"E"
"401","Indre By",0,8,5,378,55.688731,12.588617,"E"
"402","Vanløse",5,8,4,314,55.693168,12.509182,"E"
"403","Amager Vest",0,3,1,454,55.633744,12.572763,"E"
"404","Amager Vest",0,4,3,464,55.654151,12.564759,"E"
"405","Nørrebro",0,3,1,454,55.696902,12.542235,"E"
"406","Indre By",4.5,4,2,378,55.690384,12.570297,"E"
"407","Vesterbro-Kongens Enghave",0,6,4,378,55.671982,12.554264,"E"
"408","Valby",5,9,4,325,55.661595,12.503321,"E"
"409","Amager Øst",5,6,5,371,55.654741,12.63617,"E"
"410","Indre By",5,6,1,378,55.697584,12.590347,"E"
"411","Amager Vest",0,5,3,332,55.65303,12.564389,"E"
"412","Vesterbro-Kongens Enghave",0,4,2,378,55.666777,12.537337,"E"
"413","Indre By",3.5,6,3,364,55.682896,12.588183,"E"
